ticker,in_pool_time,source,in_pool_date
ADBE,20260308_195758,nasdaq100_pool,20260308
AMD,20260308_195758,nasdaq100_pool,20260308
ABNB,20260308_195758,nasdaq100_pool,20260308
ALNY,20260308_195758,nasdaq100_pool,20260308
GOOGL,20260308_195758,nasdaq100_pool,20260308
GOOG,20260308_195758,nasdaq100_pool,20260308
AMZN,20260308_195758,nasdaq100_pool,20260308
AEP,20260308_195758,nasdaq100_pool,20260308
AMGN,20260308_195758,nasdaq100_pool,20260308
ADI,20260308_195758,nasdaq100_pool,20260308
AAPL,20260308_195758,nasdaq100_pool,20260308
AMAT,20260308_195758,nasdaq100_pool,20260308
APP,20260308_195758,nasdaq100_pool,20260308
ARM,20260308_195758,nasdaq100_pool,20260308
ASML,20260308_195758,nasdaq100_pool,20260308
TEAM,20260308_195758,nasdaq100_pool,20260308
ADSK,20260308_195758,nasdaq100_pool,20260308
ADP,20260308_195758,nasdaq100_pool,20260308
AXON,20260308_195758,nasdaq100_pool,20260308
BKR,20260308_195758,nasdaq100_pool,20260308
BKNG,20260308_195758,nasdaq100_pool,20260308
AVGO,20260308_195758,nasdaq100_pool,20260308
CDNS,20260308_195758,nasdaq100_pool,20260308
CHTR,20260308_195758,nasdaq100_pool,20260308
CTAS,20260308_195758,nasdaq100_pool,20260308
CSCO,20260308_195758,nasdaq100_pool,20260308
CCEP,20260308_195758,nasdaq100_pool,20260308
CTSH,20260308_195758,nasdaq100_pool,20260308
CMCSA,20260308_195758,nasdaq100_pool,20260308
CEG,20260308_195758,nasdaq100_pool,20260308
CPRT,20260308_195758,nasdaq100_pool,20260308
CSGP,20260308_195758,nasdaq100_pool,20260308
COST,20260308_195758,nasdaq100_pool,20260308
CRWD,20260308_195758,nasdaq100_pool,20260308
CSX,20260308_195758,nasdaq100_pool,20260308
DDOG,20260308_195758,nasdaq100_pool,20260308
DXCM,20260308_195758,nasdaq100_pool,20260308
FANG,20260308_195758,nasdaq100_pool,20260308
DASH,20260308_195758,nasdaq100_pool,20260308
EA,20260308_195758,nasdaq100_pool,20260308
EXC,20260308_195758,nasdaq100_pool,20260308
FAST,20260308_195758,nasdaq100_pool,20260308
FER,20260308_195758,nasdaq100_pool,20260308
FTNT,20260308_195758,nasdaq100_pool,20260308
GEHC,20260308_195758,nasdaq100_pool,20260308
GILD,20260308_195758,nasdaq100_pool,20260308
HON,20260308_195758,nasdaq100_pool,20260308
IDXX,20260308_195758,nasdaq100_pool,20260308
INSM,20260308_195758,nasdaq100_pool,20260308
INTC,20260308_195758,nasdaq100_pool,20260308
INTU,20260308_195758,nasdaq100_pool,20260308
ISRG,20260308_195758,nasdaq100_pool,20260308
KDP,20260308_195758,nasdaq100_pool,20260308
KLAC,20260308_195758,nasdaq100_pool,20260308
KHC,20260308_195758,nasdaq100_pool,20260308
LRCX,20260308_195758,nasdaq100_pool,20260308
LIN,20260308_195758,nasdaq100_pool,20260308
MAR,20260308_195758,nasdaq100_pool,20260308
MRVL,20260308_195758,nasdaq100_pool,20260308
MELI,20260308_195758,nasdaq100_pool,20260308
META,20260308_195758,nasdaq100_pool,20260308
MCHP,20260308_195758,nasdaq100_pool,20260308
MU,20260308_195758,nasdaq100_pool,20260308
MSFT,20260308_195758,nasdaq100_pool,20260308
MSTR,20260308_195758,nasdaq100_pool,20260308
MDLZ,20260308_195758,nasdaq100_pool,20260308
MPWR,20260308_195758,nasdaq100_pool,20260308
MNST,20260308_195758,nasdaq100_pool,20260308
NFLX,20260308_195758,nasdaq100_pool,20260308
NVDA,20260308_195758,nasdaq100_pool,20260308
NXPI,20260308_195758,nasdaq100_pool,20260308
ORLY,20260308_195758,nasdaq100_pool,20260308
ODFL,20260308_195758,nasdaq100_pool,20260308
PCAR,20260308_195758,nasdaq100_pool,20260308
PLTR,20260308_195758,nasdaq100_pool,20260308
PANW,20260308_195758,nasdaq100_pool,20260308
PAYX,20260308_195758,nasdaq100_pool,20260308
PYPL,20260308_195758,nasdaq100_pool,20260308
PDD,20260308_195758,nasdaq100_pool,20260308
PEP,20260308_195758,nasdaq100_pool,20260308
QCOM,20260308_195758,nasdaq100_pool,20260308
REGN,20260308_195758,nasdaq100_pool,20260308
ROP,20260308_195758,nasdaq100_pool,20260308
ROST,20260308_195758,nasdaq100_pool,20260308
STX,20260308_195758,nasdaq100_pool,20260308
SHOP,20260308_195758,nasdaq100_pool,20260308
SBUX,20260308_195758,nasdaq100_pool,20260308
SNPS,20260308_195758,nasdaq100_pool,20260308
TMUS,20260308_195758,nasdaq100_pool,20260308
TTWO,20260308_195758,nasdaq100_pool,20260308
TSLA,20260308_195758,nasdaq100_pool,20260308
TXN,20260308_195758,nasdaq100_pool,20260308
TRI,20260308_195758,nasdaq100_pool,20260308
VRSK,20260308_195758,nasdaq100_pool,20260308
VRTX,20260308_195758,nasdaq100_pool,20260308
WMT,20260308_195758,nasdaq100_pool,20260308
WBD,20260308_195758,nasdaq100_pool,20260308
WDC,20260308_195758,nasdaq100_pool,20260308
WDAY,20260308_195758,nasdaq100_pool,20260308
XEL,20260308_195758,nasdaq100_pool,20260308
ZS,20260308_195758,nasdaq100_pool,20260308
ASTRAZENECA,20260308_195758,nasdaq100_pool,20260308
VERSANT,20260308_195758,nasdaq100_pool,20260308
BIOGEN,20260308_195758,nasdaq100_pool,20260308
CDW CORPORATION,20260308_195758,nasdaq100_pool,20260308
GLOBALFOUNDRIES,20260308_195758,nasdaq100_pool,20260308
LULULEMON ATHLETICA,20260308_195758,nasdaq100_pool,20260308
ON SEMICONDUCTOR,20260308_195758,nasdaq100_pool,20260308
TRADE DESK (THE),20260308_195758,nasdaq100_pool,20260308
SOLSTICE ADVANCED MATERIALS,20260308_195758,nasdaq100_pool,20260308
ANSYS,20260308_195758,nasdaq100_pool,20260308
MONGODB,20260308_195758,nasdaq100_pool,20260308
ILUMINA,20260308_195758,nasdaq100_pool,20260308
MODERNA,20260308_195758,nasdaq100_pool,20260308
SUPERMICRO,20260308_195758,nasdaq100_pool,20260308
DOLLAR TREE,20260308_195758,nasdaq100_pool,20260308
WALGREENS BOOTS ALLIANCE,20260308_195758,nasdaq100_pool,20260308
SIRIUS XM,20260308_195758,nasdaq100_pool,20260308
SPLUNK,20260308_195758,nasdaq100_pool,20260308
ALIGN TECHNOLOGY,20260308_195758,nasdaq100_pool,20260308
EBAY,20260308_195758,nasdaq100_pool,20260308
ENPHASE ENERGY,20260308_195758,nasdaq100_pool,20260308
JD.COM,20260308_195758,nasdaq100_pool,20260308
LUCID GROUP,20260308_195758,nasdaq100_pool,20260308
ZOOM VIDEO COMMUNICATIONS,20260308_195758,nasdaq100_pool,20260308
SEAGEN INC.,20260308_195758,nasdaq100_pool,20260308
ACTIVISION BLIZZARD,20260308_195758,nasdaq100_pool,20260308
RIVIAN AUTOMOTIVE,20260308_195758,nasdaq100_pool,20260308
FISERV,20260308_195758,nasdaq100_pool,20260308
VERISIGN,20260308_195758,nasdaq100_pool,20260308
SKYWORKS,20260308_195758,nasdaq100_pool,20260308
NETEASE,20260308_195758,nasdaq100_pool,20260308
BAIDU,20260308_195758,nasdaq100_pool,20260308
MATCH GROUP,20260308_195758,nasdaq100_pool,20260308
DOCUSIGN,20260308_195758,nasdaq100_pool,20260308
OKTA,20260308_195758,nasdaq100_pool,20260308
XILINX,20260308_195758,nasdaq100_pool,20260308
PELOTON,20260308_195758,nasdaq100_pool,20260308
CDW,20260308_195758,nasdaq100_pool,20260308
FOX CORPORATION,20260308_195758,nasdaq100_pool,20260308
CERNER,20260308_195758,nasdaq100_pool,20260308
CHECK POINT,20260308_195758,nasdaq100_pool,20260308
TRIP.COM,20260308_195758,nasdaq100_pool,20260308
INCYTE,20260308_195758,nasdaq100_pool,20260308
MAXIM INTEGRATED PRODUCTS,20260308_195758,nasdaq100_pool,20260308
ALEXION PHARMACEUTICALS,20260308_195758,nasdaq100_pool,20260308
BIOMARIN PHARMACEUTICAL,20260308_195758,nasdaq100_pool,20260308
CITRIX SYSTEMS,20260308_195758,nasdaq100_pool,20260308
EXPEDIA,20260308_195758,nasdaq100_pool,20260308
LIBERTY GLOBAL,20260308_195758,nasdaq100_pool,20260308
TAKE-TWO INTERACTIVE,20260308_195758,nasdaq100_pool,20260308
ULTA BEAUTY,20260308_195758,nasdaq100_pool,20260308
WESTERN DIGITAL,20260308_195758,nasdaq100_pool,20260308
NETAPP,20260308_195758,nasdaq100_pool,20260308
COSTAR GROUP,20260308_195758,nasdaq100_pool,20260308
UNITED AIRLINES HOLDINGS,20260308_195758,nasdaq100_pool,20260308
WILLIS TOWERS WATSON,20260308_195758,nasdaq100_pool,20260308
AMERICAN AIRLINES,20260308_195758,nasdaq100_pool,20260308
HASBRO,20260308_195758,nasdaq100_pool,20260308
HENRY SCHEIN,20260308_195758,nasdaq100_pool,20260308
J.B. HUNT,20260308_195758,nasdaq100_pool,20260308
MYLAN,20260308_195758,nasdaq100_pool,20260308
NORTONLIFELOCK,20260308_195758,nasdaq100_pool,20260308
WYNN RESORTS,20260308_195758,nasdaq100_pool,20260308
CELGENE,20260308_195758,nasdaq100_pool,20260308
21ST CENTURY FOX CLASS A,20260308_195758,nasdaq100_pool,20260308
21ST CENTURY FOX CLASS B,20260308_195758,nasdaq100_pool,20260308
EXPRESS SCRIPTS,20260308_195758,nasdaq100_pool,20260308
HOLOGIC,20260308_195758,nasdaq100_pool,20260308
QURATE RETAIL,20260308_195758,nasdaq100_pool,20260308
SHIRE PLC,20260308_195758,nasdaq100_pool,20260308
SEAGATE TECHNOLOGY,20260308_195758,nasdaq100_pool,20260308
VODAFONE,20260308_195758,nasdaq100_pool,20260308
DENTSPLY SIRONA,20260308_195758,nasdaq100_pool,20260308
CA INC.,20260308_195758,nasdaq100_pool,20260308
DISH NETWORK,20260308_195758,nasdaq100_pool,20260308
AKAMAI TECHNOLOGIES,20260308_195758,nasdaq100_pool,20260308
DISCOVERY COMMUNICATIONS SERIES A,20260308_195758,nasdaq100_pool,20260308
DISCOVERY COMMUNICATIONS SERIES C,20260308_195758,nasdaq100_pool,20260308
NORWEGIAN CRUISE LINE HOLDINGS,20260308_195758,nasdaq100_pool,20260308
TRACTOR SUPPLY,20260308_195758,nasdaq100_pool,20260308
VIACOM,20260308_195758,nasdaq100_pool,20260308
MATTEL,20260308_195758,nasdaq100_pool,20260308
YAHOO! INC.,20260308_195758,nasdaq100_pool,20260308
TRIPADVISOR,20260308_195758,nasdaq100_pool,20260308
SBA COMMUNICATIONS,20260308_195758,nasdaq100_pool,20260308
NXP SEMICONDUCTORS,20260308_195758,nasdaq100_pool,20260308
BED BATH & BEYOND,20260308_195758,nasdaq100_pool,20260308
STERICYCLE,20260308_195758,nasdaq100_pool,20260308
WHOLE FOODS MARKET,20260308_195758,nasdaq100_pool,20260308
LINEAR TECHNOLOGY,20260308_195758,nasdaq100_pool,20260308
ENDO INTERNATIONAL,20260308_195758,nasdaq100_pool,20260308
LIBERTY MEDIA,20260308_195758,nasdaq100_pool,20260308
SANDISK,20260308_195758,nasdaq100_pool,20260308
